Chimney of Scholven A Power Station 	789 ft 	240.5 m 		Chimney 	Gelsenkirchen 	Northrhine-Westphalia 	51°35′59.83″N 7°0′20.27″E 	
Main Tower 	787 ft 	240 m 	1999 	Skyscraper 	Frankfurt/Main 	Hesse 	50°6′44.46″N 8°40′19.84″E 	roof height: 200 m
Chimney of Voerde Power Station 	787 ft 	240 m 		Chimney 	Voerde 	Northrhine-Westphalia 	51°34′36.29″N 6°41′6.85″E 	
Chimneys of Bexbach Power Station 	787 ft 	240 m 		Chimney 	Bexbach 	Saarland 	49°21′48.51″N 7°14′13.38″E 	
Chimney of Cuno Power Station 	787 ft 	240 m 		Chimney 	Herdecke 	Northrhine-Westphalia 	51°24′15.41″N 7°24′49.09″E 	
Transmitter Thurnau 	787 ft 	240 m 	1980 	Guyed Mast 	Thurnau 	Bavaria 	49°59′14.93″N 11°22′36.03″E 	insulated against ground
Steel tube radio mast Langenberg 	787 ft 	240 m 	1940/41 	Guyed Mast 	Velbert-Langenberg 	North Rhine-Westphalia 		insulated against ground, demolished on April 12, 1945
Transmitter Cremlingen 	787 ft 	240 m 	1965 	Guyed Mast 	Cremlingen 	Lower-Saxony 	52°17′37.96″N 10°43′37.32″E 	insulated against ground, in 1978 height reduced to 188 m
Bodenseesender, main mast (Teufelsturm) 	787 ft 	240 m 	1978 	Guyed Mast 	Messkirch 	Baden-Württemberg 	48°1′24.33″N 9°6′58.44″E 	insulated against ground
Wiederau transmitter, J1-mast 	774 ft 	236 m 	1953 	Guyed Mast 	Wiederau 	Free State of Saxony 	51°11′4.48″N 12°17′2.85″E 	insulated against ground
Bremen-Walle Telecommunication Tower 	773 ft 	235.7 m 	1986 	Tower 	Bremen-Walle 	Bremen 	53°5′44.61″N 8°47′30.71″E 	
Chimney Power Station Schwandorf 	771 ft 	235 m 		Chimney 	Schwandorf 	Bavaria 	49°18′13.82″N 12°4′39.05″E ; 49°18′14.42″N 12°4′35.33″E 	demolished
Rheinturm Düsseldorf 	768 ft 	234.2 m 	1981 	Tower 	Düsseldorf 	Northrhine-Westphalia 	51°13′4.37″N 6°45′41.87″E 	
Schleptruper Egge transmitter 	768 ft 	234 m 		Guyed Mast 	Bramsche 	Lower-Saxony 	52°22′28.57″N 8°1′47.76″E 	
Longwave transmitter Europe 1, backup antenna 	768 ft 	234 m 	1954/55 	Guyed Mast 	Felsberg-Berus 	Saarland 	49°17′8.93″N 6°39′31.71″E ; 49°17′1.54″N 6°39′23.6″E 	2 masts, insulated against ground
Karlsruhe Rhine Harbour Thermal Power Plant, Large Chimney 	764 ft 	233 m 		Chimney 	Karlsruhe 	Baden-Württemberg 	49°0′41.23″N 8°18′14.26″E 	
Chimneys Weiher Power Station 	761 ft 	232 m 		Chimney 	Quierschied-Weiher 	Saarland 	49°20′5.23″N 7°2′7.85″E 	
Radio Mast Bungsberg (new) 	758 ft 	231 m 	2005 	Guyed Mast 	Bungsberg 	Schleswig-Holstein 	54°13′1.44″N 10°42′59.47″E 	close to Fernmeldeturm Bungsberg
Radio Mast Bungsberg (old) 	758 ft 	231 m 	1960 	Guyed Mast 	Bungsberg 	Schleswig-Holstein 	54°12′59.66″N 10°43′6.92″E 	close to Fernmeldeturm Bungsberg, dismantled in 2006
Dillberg transmitter 	758 ft 	231 m 	1978 	Guyed Mast 	Dillberg 	Bavaria 	49°19′24.61″N 11°22′50.42″E 	grounded mast with cage antenna for MW
Transmitter Stollberg 	758 ft 	231 m 	1993 	Guyed Mast 	Stollberg 	North Rhine-Westphalia 	50°46′43.8″N 6°14′37.14″E 	
Fernmeldeturm Kiel 	755 ft 	230 m 	1972 	Tower 	Kiel 	Schleswig-Holstein 	54°18′2.25″N 10°7′6.2″E 	
Friedrich-Clemens-Gerke Tower 	755 ft 	230 m 	1991 	Tower 	Cuxhaven 	Lower Saxony 	53°51′22.72″N 8°40′39.23″E 	
Chimney of Voerde Power Station 	755 ft 	230 m 		Chimney 	Voerde 	Northrhine-Westphalia 	51°34′43.66″N 6°40′45.13″E 	
Chimney of Castrop-Rauxel Power Station 	755 ft 	230 m 		Chimney 	Castrop-Rauxel 	Northrhine-Westphalia 	51°34′49.37″N 7°18′49.19″E 	
Radio mast Berlin-Scholzplatz 	755 ft 	230 m 	1963 	Guyed Mast 	Berlin 	Berlin 	52°30′21.82″N 13°13′10.26″E 	
Karlsruhe Rhine Harbour Thermal Power Plant, Chimney of Unit 8 	755 ft 	230 m 	2008 	Chimney 	Karlsruhe 	Baden-Württemberg 		
Wind Turbine in Hausbay-Bickenbach 	673 ft 	229.5 m 	2016 	Wind turbine on concrete-steel tower 	Hausbay-Bickenbach 	Rhineland-Palatinate 		164 metre hub height, rotor diameter 131 m
Radio Mast Leichlingen 	751 ft 	229 m 		Guyed Mast 	Leichlingen 	Northrhine-Westphalia 	51°7′8.54″N 7°6′0.48″E 	
Elbe Crossing 2 	745 ft 	227 m 	1976–1978 	Lattice tower 	Stade 	Lower Saxony; Hetlinger Schanze, Schleswig-Holstein 	53°35′39.97″N 9°35′28.16″E ; 53°36′8.36″N 9°36′11.71″E 	two electricity pylons
Transmitter Aurich-Popens 	745 ft 	227 m 		Guyed Mast 	Aurich 	Lower Saxony 	53°27′41.76″N 7°30′24.83″E 	
Lingen transmitter 	745 ft 	227 m 		Guyed Mast 	Lingen 	Lower Saxony 	52°32′6.48″N 7°21′11″E 	grounded mast with cage aerial for MF
Chimney of Heyden Power Station 	745 ft 	227 m 		Chimney 	Petershagen 	Northrhine-Westphalia 	52°22′53.79″N 8°59′55.2″E 	
Chimney of Erfurt-Ost Heating Power Station 	741 ft 	226 m 		Chimney 	Erfurt 	Thuringia 	51 00 55 N 011 02 23 E 	demolished
Chimney of Gera-Nord Heating Power Station (3 Essen) 	738 ft 	225 m 		Chimney 	Gera 	Thuringia 	50°54′18.59″N 12°3′48.34″E ; 50°54′17.65″N 12°3′44.96″E ; 50°54′15.69″N 12°3′48.6″E 	
Kirchlinteln transmitter 	738 ft 	225 m 		Guyed Mast 	Kirchlinteln 	Lower Saxony 	52°54′34.27″N 9°18′21.77″E 	
Chimney Jena Heating Power Station 	738 ft 	225 m 		Chimney 	Jena 	Thuringia 	50°53′51.53″N 11°35′12.5″E 	
Chimney Altchemnitz 	738 ft 	225 m 		Chimney 	Altchemnitz 	Saxony 	50°47′54.9″N 12°55′2.7″E 	
Bleialf transmitter 	735 ft 	224 m 		Guyed Mast 	Bleialf 	Rhineland-Palatinate 	50°15′16.77″N 6°21′32.29″E 	
Fernmeldeturm Münster 42 	730 ft 	222.5 m 	1986 	Tower 	Münster 	Northrhine-Westphalia 	51°56′59.64″N 7°39′58.97″E 	
